I,U
-0.03,0.15
-0.025,0.45
-0.035,1.05
-0.04,0.75
-0.04,1.05
-0.04,1.35
-0.04,1.65
-0.035,1.95
-0.035,2.1
-0.025,2.4
-0.02,2.7
0.005,3
0.04,3.3
0.14,3.45
0.23,3.75
0.385,4.05
0.62,4.2
0.81,4.5
1.145,4.8
1.435,4.95
1.74,5.25
1.9,5.55
1.635,5.85
1.31,6.15
0.855,6.3
0.555,6.6
0.455,6.9
0.32,7.2
0.31,7.5
0.48,7.5
0.58,7.8
0.805,8.1
1.09,8.4
1.435,8.7
1.9,8.85
2.32,9.15
2.86,9.45
3.555,9.75
4.11,10.05
4.635,10.2
4.44,10.5
3.645,10.8
2.645,10.95
1.67,11.25
1.06,11.4
0.8,11.7
0.705,12
0.84,12.3
1.02,12.6
1.335,12.75
1.78,13.05
2.22,13.35
2.805,13.65
3.525,13.95
4.24,14.1
5.115,14.25
6.055,14.55
6.97,14.85
7.53,15.15
7.26,15.3
6.07,15.6
4.59,15.9
3.125,16.2
2.195,16.5
1.61,16.65
1.38,16.95
1.39,17.25
1.65,17.55
2.06,17.7
2.61,17.85
3.285,18.15
4.12,18.45
5.045,18.75
6.045,19.05
7.265,19.2
8.48,19.5
9.705,19.8
10.245,20.1
10.245,20.25
9.375,20.55
7.695,20.85
5.96,21
4.265,21.3
3.19,21.45
2.63,21.75
2.39,22.05
2.505,22.35
2.895,22.65
3.49,22.8
4.245,23.1
5.175,23.4
6.28,23.7
7.565,24
8.945,24.15
10.245,24.3
10.245,24.6
10.245,24.9
10.245,25.2
10.245,25.35
10.245,25.65
9.99,25.95
8.09,26.25
6.355,26.55
5.195,26.7
4.45,27
4.19,27.3
4.275,27.6
4.675,27.75
5.35,27.9
6.26,28.2
7.415,28.5
8.81,28.8
10.245,28.95
10.245,29.25
10.245,29.55
10.245,29.85
10.245,30.15
10.245,30.3
10.245,30.6
10.245,30.75
10.245,31.05
10.245,31.35
9.805,31.5
8.62,31.8
8.64,31.95
8.655,31.95
8.675,31.95
8.695,31.95
8.71,31.95
8.725,31.95
8.75,31.95
8.76,31.95
8.77,31.95
8.795,31.95
8.805,31.95
8.815,31.95
8.82,31.95
8.845,31.95
8.85,31.95
8.83,31.95
8.875,31.95
8.87,31.95
8.845,31.95
8.9,31.95
8.9,31.95
8.88,31.95
8.95,31.95
8.925,31.95
8.93,31.95
