Crystal angle	Rate at 15kV
theta/°	R(15kV)/Imp/s

3,0	25,0
3,1	29,0
3,2	20,0
3,3	11,0
3,4	9,0
3,5	7,0
3,6	2,0
3,7	2,0
3,8	0,0
3,9	1,0
4,0	1,0
4,1	1,0
4,2	1,0
4,3	1,0
4,4	0,0
4,5	0,0
4,6	2,0
4,7	0,0
4,8	2,0
4,9	1,0
5,0	1,0
5,1	1,0
5,2	1,0
5,3	1,0
5,4	0,0
5,5	2,0
5,6	0,0
5,7	1,0
5,8	1,0
5,9	1,0
6,0	0,0
6,1	0,0
6,2	0,0
6,3	1,0
6,4	1,0
6,5	0,0
6,6	1,0
6,7	0,0
6,8	0,0
6,9	0,0
7,0	1,0
7,1	1,0
7,2	0,0
7,3	0,0
7,4	0,0
7,5	0,0
7,6	0,0
7,7	0,0
7,8	1,0
7,9	1,0
8,0	0,0
8,1	0,0
8,2	0,0
8,3	1,0
8,4	1,0
8,5	1,0
8,6	2,0
8,7	2,0
8,8	5,0
8,9	6,0
9,0	9,0
9,1	11,0
9,2	14,0
9,3	16,0
9,4	20,0
9,5	18,0
9,6	25,0
9,7	27,0
9,8	21,0
9,9	22,0
10,0	26,0
10,1	23,0
10,2	25,0
10,3	21,0
10,4	25,0
10,5	27,0
10,6	27,0
10,7	27,0
10,8	27,0
10,9	30,0
11,0	24,0
11,1	30,0
11,2	28,0
11,3	26,0
11,4	28,0
11,5	26,0
11,6	25,0
11,7	27,0
11,8	26,0
11,9	29,0
12,0	25,0
12,1	24,0
12,2	29,0
12,3	25,0
12,4	21,0
