a,I
3.0,294.0
3.1,273.0
3.2,188.0
3.3,159.0
3.4,106.0
3.5,66.0
3.6,42.0
3.7,32.0
3.8,19.0
3.9,22.0
4.0,21.0
4.1,21.0
4.2,15.0
4.3,14.0
4.4,14.0
4.5,12.0
4.6,15.0
4.7,15.0
4.8,15.0
4.9,15.0
5.0,22.0
5.1,18.0
5.2,26.0
5.3,26.0
5.4,30.0
5.5,34.0
5.6,39.0
5.7,39.0
5.8,48.0
5.9,51.0
6.0,52.0
6.1,64.0
6.2,66.0
6.3,66.0
6.4,76.0
6.5,85.0
6.6,89.0
6.7,87.0
6.8,95.0
6.9,114.0
7.0,115.0
7.1,142.0
7.2,159.0
7.3,194.0
7.4,210.0
7.5,218.0
7.6,236.0
7.7,304.0
7.8,202.0
7.9,114.0
8.0,118.0
8.1,121.0
8.2,119.0
8.3,123.0
8.4,123.0
8.5,120.0
8.6,131.0
8.7,130.0
8.8,135.0
8.9,122.0
9.0,132.0
9.1,126.0
9.2,123.0
9.3,121.0
9.4,129.0
9.5,135.0
9.6,133.0
9.7,127.0
9.8,131.0
9.9,121.0
10.0,117.0
10.1,116.0
10.2,109.0
10.3,117.0
10.4,114.0
10.5,108.0
10.6,110.0
10.7,114.0
10.8,119.0
10.9,119.0
11.0,117.0
11.1,109.0
11.2,110.0
11.3,116.0
11.4,110.0
11.5,98.0
11.6,103.0
11.7,108.0
