a,c
3,923
3.1,768
3.2,489
3.3,343
3.4,257
3.5,187
3.6,135
3.7,124
3.8,117
3.9,105
4,107
4.1,98
4.2,100
4.3,95
4.4,94
4.5,123
4.6,138
4.7,135
4.8,156
4.9,150
5,165
5.1,154
5.2,157
5.3,162
5.4,159
5.5,142
5.6,155
5.7,144
5.8,144
5.9,133
6,141
6.1,139
6.2,143
6.3,173
6.4,184
6.5,201
6.6,205
6.7,202
6.8,234
6.9,284
7,269
7.1,355
7.2,428
7.3,494
7.4,600
7.5,596
7.6,712
7.7,930
7.8,631
7.9,217
8,221
8.1,219
8.2,211
8.3,213
8.4,222
8.5,226
8.6,239
8.7,238
8.8,239
8.9,226
9,239
9.1,229
9.2,239
9.3,248
9.4,237
9.5,236
9.6,244
9.7,240
9.8,236
9.9,243
10,224
10.1,217
10.2,210
10.3,208
10.4,203
10.5,205
10.6,203
10.7,204
10.8,200
10.9,187
11,197
11.1,199
11.2,192
11.3,187
11.4,182
11.5,184
11.6,182
11.7,192
11.8,186
11.9,173
12,171
12.1,173
12.2,170
12.3,176
12.4,168
12.5,174
12.6,181
12.7,170
12.8,162
12.9,170
13,171
13.1,193
13.2,215
13.3,263
13.4,337
13.5,271
13.6,184
13.7,169
13.8,166
13.9,165
14,166
14.1,172
14.2,156
14.3,153
14.4,159
14.5,171
14.6,177
14.7,199
14.8,222
14.9,429
15,810
15.1,810
15.2,442
15.3,226
15.4,167
15.5,131
15.6,130
15.7,123
15.8,129
15.9,110
16,114
16.1,116
16.2,116
16.3,105
16.4,112
16.5,102
16.6,103
16.7,108
16.8,107
16.9,89
17,95
17.1,93
17.2,86
17.3,84
17.4,80
17.5,86
17.6,84
17.7,80
17.8,74
17.9,82
18,72
18.1,78
18.2,75
18.3,74
18.4,74
18.5,77
18.6,75
18.7,75
18.8,69
18.9,68
19,75
19.1,71
19.2,79
19.3,68
19.4,69
19.5,68
19.6,62
19.7,71
19.8,69
19.9,66
20,92
20.1,96
20.2,67
20.3,65
20.4,54
20.5,53
20.6,52
20.7,47
20.8,49
20.9,48
21,51
21.1,48
21.2,48
21.3,46
21.4,51
21.5,47
21.6,46
21.7,49
21.8,47
21.9,54
22,50
22.1,57
22.2,58
22.3,56
22.4,64
22.5,125
22.6,191
22.7,190
22.8,151
22.9,73
23,52
23.1,48
23.2,52
23.3,41
23.4,43
23.5,39
23.6,41
23.7,47
23.8,36
23.9,38
24,40
24.1,35
24.2,32
24.3,36
24.4,40
24.5,35
24.6,39
24.7,37
24.8,37
24.9,31
25,35
25.1,32
25.2,33
25.3,29
25.4,33
25.5,33
25.6,32
25.7,32
25.8,31
25.9,27
26,30
26.1,31
26.2,28
26.3,28
26.4,29
26.5,32
26.6,31
26.7,28
26.8,25
26.9,30
27,38
27.1,35
27.2,34
27.3,28
27.4,29
27.5,32
27.6,31
27.7,27
27.8,25
27.9,33
28,27
28.1,26
28.2,25
28.3,28
28.4,28
28.5,26
28.6,25
28.7,20
28.8,25
28.9,27
29,23
29.1,23
29.2,27
29.3,25
29.4,22
29.5,26
29.6,27
29.7,29
29.8,24
29.9,28
30,25
30.1,20
30.2,25
30.3,28
30.4,27
30.5,39
30.6,54
30.7,55
30.8,42
30.9,35
31,27
31.1,26
31.2,23
31.3,21
31.4,21
31.5,23
31.6,18
31.7,19
31.8,20
31.9,22
32,24
32.1,19
32.2,19
32.3,17
32.4,18
32.5,18
32.6,20
32.7,17
32.8,21
32.9,18
33,15
33.1,18
33.2,15
33.3,19
33.4,17
33.5,17
33.6,17
33.7,16
33.8,20
33.9,18
34,17
34.1,16
34.2,18
34.3,16
34.4,14
34.5,14
34.6,18
34.7,17
34.8,15
34.9,15
35,19
35.1,17
35.2,13
35.3,13
35.4,17
35.5,13
35.6,13
35.7,13
35.8,12
35.9,17
36,15
36.1,16
36.2,17
36.3,13
36.4,16
36.5,17
36.6,15
36.7,12
36.8,13
36.9,12
37,12
37.1,13
37.2,16
37.3,16
37.4,14
37.5,14
37.6,13
37.7,14
37.8,13
37.9,15
38,12
38.1,14
38.2,12
38.3,14
38.4,14
38.5,11
38.6,12
38.7,15
38.8,14
38.9,13
39,11
39.1,12
39.2,15
39.3,13
39.4,18
39.5,16
39.6,17
39.7,15
39.8,10
39.9,13
40,12
40.1,13
40.2,8
40.3,13
40.4,12
40.5,11
40.6,13
40.7,11
40.8,9
40.9,11
41,11
41.1,11
41.2,12
41.3,11
41.4,9
41.5,13
41.6,9
41.7,11
41.8,10
41.9,11
42,11
42.1,11
42.2,9
42.3,8
42.4,12
42.5,11
42.6,11
42.7,10
42.8,9
42.9,10
43,8
43.1,11
43.2,8
43.3,9
43.4,10
43.5,10
43.6,10
43.7,12
43.8,9
43.9,9
44,11
44.1,8
44.2,8
44.3,9
44.4,10
44.5,8
44.6,11
44.7,10
44.8,9
44.9,10
45,11
